species,location,x,y,observed_on
,"(-39.66026467671064, -9.408598464723298)",-9.408598464723298,-39.66026467671064,2016-03-26T00:00:00
,"(60.33867068506845, 65.63407086611855)",65.63407086611855,60.33867068506845,2020-08-15T00:00:00
,"(-54.762514929433515, -167.18354249745724)",-167.18354249745724,-54.762514929433515,2018-09-05T00:00:00
,"(62.919127625942906, -47.23167722550798)",-47.23167722550798,62.919127625942906,2014-05-21T00:00:00
,"(89.62800246293577, -76.120662420327)",-76.120662420327,89.62800246293577,2010-11-25T00:00:00
,"(59.454606339495626, -143.7703587238724)",-143.7703587238724,59.454606339495626,2018-06-16T00:00:00
,"(-9.068221963968895, 7.8170274031177485)",7.8170274031177485,-9.068221963968895,2022-01-17T00:00:00
,"(18.047459554658417, 91.97608178606714)",91.97608178606714,18.047459554658417,2016-12-09T00:00:00
,"(36.76759154509426, 45.51344432235359)",45.51344432235359,36.76759154509426,2019-03-29T00:00:00
,"(-35.187023782399635, 151.8814326397183)",151.8814326397183,-35.187023782399635,2022-07-10T00:00:00
,"(37.71313981610359, -52.89400253037043)",-52.89400253037043,37.71313981610359,2023-11-27T00:00:00
,"(-61.943746000106394, 53.680887798388085)",53.680887798388085,-61.943746000106394,2022-04-01T00:00:00
,"(28.62156846056476, -119.12686993080644)",-119.12686993080644,28.62156846056476,2015-11-17T00:00:00
,"(-20.10727927259454, -172.30345932851617)",-172.30345932851617,-20.10727927259454,2019-02-20T00:00:00
,"(16.53817389461294, 25.796751071488814)",25.796751071488814,16.53817389461294,2023-07-22T00:00:00
,"(-24.491711477426094, 9.880759307558321)",9.880759307558321,-24.491711477426094,2022-03-11T00:00:00
,"(-81.59565386468415, -43.88577510911071)",-43.88577510911071,-81.59565386468415,2014-01-15T00:00:00
,"(-25.907324291262867, -145.2222826054666)",-145.2222826054666,-25.907324291262867,2015-09-09T00:00:00
,"(59.064310571361545, 2.816369540902457)",2.816369540902457,59.064310571361545,2011-02-25T00:00:00
,"(-23.78421958584731, -33.25023116947784)",-33.25023116947784,-23.78421958584731,2018-09-07T00:00:00
,"(-0.4154748374342745, 29.835838001666986)",29.835838001666986,-0.4154748374342745,2022-11-18T00:00:00
,"(73.9512848688527, -90.80951167624707)",-90.80951167624707,73.9512848688527,2014-07-25T00:00:00
,"(-38.51482416391039, -65.75230786844847)",-65.75230786844847,-38.51482416391039,2011-11-05T00:00:00
,"(-64.81011663994383, 92.06861338598577)",92.06861338598577,-64.81011663994383,2013-12-16T00:00:00
,"(86.69023557350562, -114.74488569027059)",-114.74488569027059,86.69023557350562,2013-01-31T00:00:00
,"(0.06864786881988039, 72.24764025025002)",72.24764025025002,0.06864786881988039,2013-02-13T00:00:00
,"(-3.1309393445974933, -98.93514328214057)",-98.93514328214057,-3.1309393445974933,2017-07-12T00:00:00
,"(-39.00083781385184, -108.85556239357217)",-108.85556239357217,-39.00083781385184,2021-12-09T00:00:00
,"(-34.79789571199794, -18.440830671005045)",-18.440830671005045,-34.79789571199794,2014-06-03T00:00:00
,"(-41.41856726159401, -84.36217747078518)",-84.36217747078518,-41.41856726159401,2022-12-09T00:00:00
,"(82.82485536224152, 35.12515024153734)",35.12515024153734,82.82485536224152,2023-07-29T00:00:00
,"(13.509746848215187, 56.05425267802693)",56.05425267802693,13.509746848215187,2017-11-21T00:00:00
,"(-64.588693162077, -35.08620480713856)",-35.08620480713856,-64.588693162077,2022-05-30T00:00:00
,"(-39.37042468161614, -139.6294786025121)",-139.6294786025121,-39.37042468161614,2013-05-17T00:00:00
,"(-4.731782074413388, -135.25049617975907)",-135.25049617975907,-4.731782074413388,2023-09-07T00:00:00
,"(-25.32235872500179, 75.8774723654779)",75.8774723654779,-25.32235872500179,2014-07-19T00:00:00
,"(-23.91040320918445, 120.96696966190336)",120.96696966190336,-23.91040320918445,2022-06-11T00:00:00
,"(-22.1490121573337, -110.98744969862182)",-110.98744969862182,-22.1490121573337,2014-01-21T00:00:00
,"(42.16472400618957, 4.280403076351888)",4.280403076351888,42.16472400618957,2021-05-13T00:00:00
,"(-17.322627428904326, -38.194301352038224)",-38.194301352038224,-17.322627428904326,2020-12-01T00:00:00
,"(-52.453570087408266, -139.85555249219857)",-139.85555249219857,-52.453570087408266,2021-05-13T00:00:00
,"(-56.42210476793931, 1.7807335053092856)",1.7807335053092856,-56.42210476793931,2011-03-24T00:00:00
,"(-15.770853932925021, -177.7587418423416)",-177.7587418423416,-15.770853932925021,2012-10-10T00:00:00
,"(5.958782828169106, 158.88894956349822)",158.88894956349822,5.958782828169106,2015-02-18T00:00:00
,"(29.122660345317627, 108.89426332943123)",108.89426332943123,29.122660345317627,2020-04-10T00:00:00
,"(-82.77876605036225, 27.533254927094646)",27.533254927094646,-82.77876605036225,2016-05-14T00:00:00
,"(58.79886061492482, -86.95580802302769)",-86.95580802302769,58.79886061492482,2012-07-31T00:00:00
,"(31.013102446202993, 114.97456205862403)",114.97456205862403,31.013102446202993,2020-01-18T00:00:00
,"(-81.08795725241015, 114.3798065077711)",114.3798065077711,-81.08795725241015,2010-07-16T00:00:00
,"(-55.70932630472557, -155.43627301566647)",-155.43627301566647,-55.70932630472557,2015-04-02T00:00:00
,"(33.547575461965636, 175.19089308218258)",175.19089308218258,33.547575461965636,2010-10-17T00:00:00
,"(17.244224230088676, 78.33401129179782)",78.33401129179782,17.244224230088676,2023-02-26T00:00:00
,"(62.214820256809816, 30.721106460217896)",30.721106460217896,62.214820256809816,2011-08-29T00:00:00
,"(-12.414414667260317, 120.8991780616754)",120.8991780616754,-12.414414667260317,2022-11-16T00:00:00
,"(55.59229567083568, 177.25805549944158)",177.25805549944158,55.59229567083568,2021-04-06T00:00:00
,"(-47.00676954563673, -144.87991238014493)",-144.87991238014493,-47.00676954563673,2018-08-19T00:00:00
,"(-72.62610391387304, -120.45474866625378)",-120.45474866625378,-72.62610391387304,2010-01-18T00:00:00
,"(-39.473918427268536, -16.484807704443796)",-16.484807704443796,-39.473918427268536,2013-07-25T00:00:00
,"(-9.539017842301178, -158.4929706687197)",-158.4929706687197,-9.539017842301178,2010-03-21T00:00:00
,"(80.34400899806198, -52.046613881708026)",-52.046613881708026,80.34400899806198,2020-02-22T00:00:00
,"(-21.71625999093972, -41.870630688472204)",-41.870630688472204,-21.71625999093972,2012-01-19T00:00:00
,"(20.023343318359323, -14.043384700461473)",-14.043384700461473,20.023343318359323,2021-01-05T00:00:00
,"(-57.93542339752247, -108.79457505366578)",-108.79457505366578,-57.93542339752247,2014-12-11T00:00:00
,"(-51.38424825013379, -78.77449335571153)",-78.77449335571153,-51.38424825013379,2021-01-11T00:00:00
,"(14.831995827225953, 2.8536705348462874)",2.8536705348462874,14.831995827225953,2023-08-19T00:00:00
,"(4.41097503204, -67.60505862517708)",-67.60505862517708,4.41097503204,2013-03-02T00:00:00
,"(38.35931066806276, 167.28135367718852)",167.28135367718852,38.35931066806276,2018-09-14T00:00:00
,"(-32.80125093978031, -136.14925699938263)",-136.14925699938263,-32.80125093978031,2011-08-05T00:00:00
,"(-45.49049933808823, -12.425254129863418)",-12.425254129863418,-45.49049933808823,2021-02-06T00:00:00
,"(-30.602012035319618, -150.01441104367774)",-150.01441104367774,-30.602012035319618,2011-04-09T00:00:00
,"(57.531406958534205, -22.485218421425685)",-22.485218421425685,57.531406958534205,2014-03-21T00:00:00
,"(48.81444958875332, 122.03269128325627)",122.03269128325627,48.81444958875332,2021-06-11T00:00:00
,"(85.0873042983275, -155.67458049431005)",-155.67458049431005,85.0873042983275,2019-03-19T00:00:00
,"(-25.51931214937494, -2.779349690455547)",-2.779349690455547,-25.51931214937494,2018-07-11T00:00:00
,"(-26.141815425262486, 89.86999897379525)",89.86999897379525,-26.141815425262486,2016-01-13T00:00:00
,"(-12.261802536820525, 106.61097248304236)",106.61097248304236,-12.261802536820525,2020-03-30T00:00:00
,"(49.827618567386054, -25.078912385781194)",-25.078912385781194,49.827618567386054,2022-08-22T00:00:00
,"(-13.151160347801905, -34.09367712888812)",-34.09367712888812,-13.151160347801905,2017-12-13T00:00:00
,"(-50.65073193122427, 144.09891019496496)",144.09891019496496,-50.65073193122427,2019-04-13T00:00:00
,"(1.874699325571683, -164.33454822720302)",-164.33454822720302,1.874699325571683,2013-03-12T00:00:00
,"(59.34728229400079, -132.58249731915356)",-132.58249731915356,59.34728229400079,2014-09-23T00:00:00
,"(-75.60353810329235, 25.72038202819462)",25.72038202819462,-75.60353810329235,2011-04-27T00:00:00
,"(-9.868434198082582, -91.277929343759)",-91.277929343759,-9.868434198082582,2021-07-16T00:00:00
,"(65.3484466311767, -88.93380960210736)",-88.93380960210736,65.3484466311767,2010-05-05T00:00:00
,"(37.04206949854067, -140.0523750593896)",-140.0523750593896,37.04206949854067,2012-02-27T00:00:00
,"(10.384823204673495, 152.90305077185536)",152.90305077185536,10.384823204673495,2022-06-15T00:00:00
,"(50.27413776800981, 52.34665229086514)",52.34665229086514,50.27413776800981,2018-04-20T00:00:00
,"(23.77410807369546, -152.3185566606413)",-152.3185566606413,23.77410807369546,2017-07-30T00:00:00
,"(63.57674670618269, -86.95275787560341)",-86.95275787560341,63.57674670618269,2022-04-16T00:00:00
,"(46.709677850588605, 0.6994995706809277)",0.6994995706809277,46.709677850588605,2015-10-24T00:00:00
,"(-47.58438297612262, 91.39690583588663)",91.39690583588663,-47.58438297612262,2011-09-06T00:00:00
,"(-51.73506159233303, -135.7585879092549)",-135.7585879092549,-51.73506159233303,2021-11-23T00:00:00
,"(41.47659570856115, -15.378089797898411)",-15.378089797898411,41.47659570856115,2020-10-05T00:00:00
,"(68.15048490906827, 58.54927009574439)",58.54927009574439,68.15048490906827,2023-09-05T00:00:00
,"(49.52270826049397, -42.8114235256601)",-42.8114235256601,49.52270826049397,2023-10-17T00:00:00
,"(-79.01006417189512, 65.50983585187379)",65.50983585187379,-79.01006417189512,2013-04-30T00:00:00
,"(-43.61772589636417, 146.1894437271971)",146.1894437271971,-43.61772589636417,2010-07-07T00:00:00
,"(79.87078099838277, -83.40918655708388)",-83.40918655708388,79.87078099838277,2013-03-07T00:00:00
,"(-0.9545294646207481, 30.152767836037924)",30.152767836037924,-0.9545294646207481,2010-05-28T00:00:00
,"(-30.99844538131127, 55.61711479454104)",55.61711479454104,-30.99844538131127,2019-05-19T00:00:00
,"(18.561184942853984, -89.39955794662464)",-89.39955794662464,18.561184942853984,2014-04-12T00:00:00
,"(-43.74600238630411, 172.24303629992687)",172.24303629992687,-43.74600238630411,2015-08-21T00:00:00
,"(83.72763030895521, 172.72875153129417)",172.72875153129417,83.72763030895521,2011-02-07T00:00:00
,"(66.35577300106848, 43.969602541999336)",43.969602541999336,66.35577300106848,2017-11-28T00:00:00
,"(-3.019877899570986, 56.72807257806164)",56.72807257806164,-3.019877899570986,2012-10-09T00:00:00
,"(8.239309541179054, -71.64331043919276)",-71.64331043919276,8.239309541179054,2015-03-18T00:00:00
,"(21.69466041080352, 7.737250493732603)",7.737250493732603,21.69466041080352,2011-01-05T00:00:00
,"(45.45165752088255, -129.88674368188092)",-129.88674368188092,45.45165752088255,2010-08-12T00:00:00
